epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.12991070747375488,0.0010000000474974513,2.2484500408172607,0.14362657070159912,1.9459270238876343
1,0.1383928507566452,0.0010000000474974513,1.9506423473358154,0.18132854998111725,1.9436887502670288
2,0.24866071343421936,0.0010000000474974513,1.8708075284957886,0.35008975863456726,1.6928834915161133
3,0.41160714626312256,0.0010000000474974513,1.601611614227295,0.4829443395137787,1.3849204778671265
4,0.5093749761581421,0.0010000000474974513,1.3674564361572266,0.5691202878952026,1.2013976573944092
5,0.5660714507102966,0.0010000000474974513,1.2161500453948975,0.5960502624511719,1.081369400024414
6,0.6156250238418579,0.0010000000474974513,1.0923219919204712,0.6175942420959473,1.0777238607406616
7,0.653124988079071,0.0010000000474974513,0.9928098320960999,0.6517055630683899,0.9630240797996521
8,0.6794642806053162,0.0010000000474974513,0.9213529229164124,0.7181328535079956,0.899787187576294
9,0.7066964507102966,0.0010000000474974513,0.8291515707969666,0.6768401861190796,0.8841506242752075
10,0.7209821343421936,0.0010000000474974513,0.7977527976036072,0.6786355376243591,0.9180537462234497
11,0.7227678298950195,0.0010000000474974513,0.7821049690246582,0.7073608636856079,0.831348717212677
12,0.7397321462631226,0.0010000000474974513,0.7257825136184692,0.7271094918251038,0.8231695890426636
13,0.7709821462631226,0.0010000000474974513,0.6905220746994019,0.7235188484191895,0.8092302680015564
14,0.7566964030265808,0.0010000000474974513,0.69533371925354,0.7432674765586853,0.8376139998435974
15,0.7683035731315613,0.0010000000474974513,0.6590602397918701,0.7378814816474915,0.7837573885917664
16,0.7959821224212646,0.0010000000474974513,0.6007033586502075,0.7719928026199341,0.7911202907562256
17,0.8040178418159485,0.0010000000474974513,0.5548753142356873,0.7342908382415771,0.8112325072288513
18,0.8125,0.0010000000474974513,0.5713447332382202,0.7271094918251038,0.8648939728736877
