epoch,accuracy,loss,val_accuracy,val_loss
0,0.4580078125,1.4123350381851196,0.703125,0.9122154712677002
1,0.72021484375,0.8095387816429138,0.8671875,0.5444664359092712
2,0.8232421875,0.5508941411972046,0.880859375,0.4112207591533661
3,0.87158203125,0.4419534206390381,0.892578125,0.3671732544898987
4,0.88818359375,0.3650135397911072,0.912109375,0.29387351870536804
5,0.90673828125,0.3233327865600586,0.91796875,0.2791212499141693
6,0.919921875,0.26812148094177246,0.912109375,0.24956011772155762
7,0.9248046875,0.26815056800842285,0.919921875,0.2442399561405182
8,0.931640625,0.2448449283838272,0.91796875,0.26225462555885315
9,0.9384765625,0.2253345102071762,0.9375,0.2120809108018875
10,0.93017578125,0.21918436884880066,0.93359375,0.22258305549621582
11,0.9443359375,0.19136586785316467,0.9375,0.204677015542984
12,0.94140625,0.1906028836965561,0.943359375,0.22087080776691437
13,0.94384765625,0.1862173080444336,0.9296875,0.21901509165763855
14,0.94384765625,0.17767585813999176,0.919921875,0.22606796026229858
15,0.94482421875,0.16488017141819,0.935546875,0.19995637238025665
16,0.9482421875,0.16462723910808563,0.94140625,0.198579803109169
17,0.95654296875,0.15007439255714417,0.943359375,0.20974022150039673
18,0.95751953125,0.13836699724197388,0.943359375,0.20464372634887695
19,0.955078125,0.13685685396194458,0.94140625,0.1881474107503891
20,0.9619140625,0.1327221393585205,0.943359375,0.20747964084148407
21,0.95654296875,0.1398409903049469,0.951171875,0.1803373396396637
22,0.9609375,0.1251848191022873,0.9375,0.23605239391326904
23,0.96240234375,0.12859082221984863,0.9453125,0.201275035738945
24,0.96044921875,0.1317402869462967,0.939453125,0.23592127859592438
25,0.9599609375,0.12409066408872604,0.947265625,0.231819748878479
26,0.95751953125,0.13258561491966248,0.94140625,0.2030123919248581
27,0.96142578125,0.12213225662708282,0.9453125,0.20810392498970032
28,0.9599609375,0.13273240625858307,0.947265625,0.20034025609493256
